,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,service,tunnel,area
9995,4646059957,5148489805,0,470404959,True,2,Pasir Ris Drive 4,tertiary,50,15.249,"LINESTRING (103.9607228 1.3700638, 103.9607068 1.3699276)",,,,,,,
9996,4646059958,4646059959,0,641102098,True,2,Pasir Ris Drive 4,tertiary,50,28.921,"LINESTRING (103.9606553 1.3696489, 103.9605738 1.3694019)",,,,,,,
9997,4646059959,5148489809,0,641102098,True,2,Pasir Ris Drive 4,tertiary,50,10.444,"LINESTRING (103.9605738 1.3694019, 103.960545 1.3693125)",,,,,,,
9998,4646059960,4646079187,0,655232112,True,2,Pasir Ris Drive 4,tertiary,50,49.102,"LINESTRING (103.9603418 1.3689226, 103.9601173 1.3685423)",,,,,,,
9999,4646059961,1840034301,0,630418840,True,2,Pasir Ris Drive 1,primary,60,25.555,"LINESTRING (103.9597008 1.3678368, 103.9598838 1.3676977)",,,,,,,
10000,4646059962,4646059955,0,640169100,True,2,Pasir Ris Drive 4,tertiary,50,20.458,"LINESTRING (103.9606287 1.3714318, 103.9606477 1.3712488)",,,,,,,
10001,4646059963,4646059954,0,639881748,True,2,Pasir Ris Drive 4,tertiary,50,24.307,"LINESTRING (103.9606267 1.3719737, 103.9606119 1.3717556)",,,,,,,
10002,4646059965,4646059956,0,655231578,True,2,Pasir Ris Drive 4,tertiary,50,29.466,"LINESTRING (103.9607136 1.3707598, 103.9607377 1.3704959)",,,,,,,
10003,4646059970,4646059965,0,639599827,True,2,Pasir Ris Drive 4,tertiary,50,35.091,"LINESTRING (103.9606649 1.3710716, 103.9607136 1.3707598)",,,,,,,
10004,4646079187,6278127725,0,470795362,True,3,Pasir Ris Drive 4,tertiary,50,7.319,"LINESTRING (103.9601173 1.3685423, 103.9600827 1.3684863)",,,,,,,
10005,4646565584,1840034397,0,470804417,True,2,Pasir Ris Drive 1,primary,60,15.348,"LINESTRING (103.9507873 1.3697282, 103.9506573 1.3697747)",,,,,,,
10006,4646565585,5150790517,0,470386837,True,2,Pasir Ris Drive 8,tertiary,60,8.446,"LINESTRING (103.948056 1.3744023, 103.9480327 1.37433)",,,,,,,
10007,4646565587,4646565594,0,470476511,True,2,Pasir Ris Drive 8,tertiary,60,19.25,"LINESTRING (103.9479491 1.3729759, 103.9478852 1.372815)",,,,,,,
10008,4646565588,5254348651,0,470476511,True,2,Pasir Ris Drive 8,tertiary,60,6.77,"LINESTRING (103.9479879 1.3731253, 103.9479788 1.3730651)",,,,,,,
10009,4646565589,4646565588,0,470476511,True,2,Pasir Ris Drive 8,tertiary,60,20.642,"LINESTRING (103.9480007 1.3733105, 103.9479879 1.3731253)",,,,,,,
10010,4646565590,4646565596,0,470476512,True,3,Pasir Ris Drive 8,tertiary,60,15.79,"LINESTRING (103.9480046 1.373776, 103.948006 1.373634)",,,,,,,
10011,4646565591,4646565592,0,470386837,True,2,Pasir Ris Drive 8,tertiary,60,20.738,"LINESTRING (103.9480134 1.3742299, 103.9480028 1.3740437)",,,,,,,
10012,4646565592,7211035318,0,470476512,True,3,Pasir Ris Drive 8,tertiary,60,19.76,"LINESTRING (103.9480028 1.3740437, 103.948004 1.373866)",,,,,,,
10013,4646565593,4646565589,0,639613957,True,2,Pasir Ris Drive 8,tertiary,60,21.897,"LINESTRING (103.9480039 1.3735074, 103.9480007 1.3733105)",,,,,,,
10014,4646565594,6114714348,0,652173963,True,2,Pasir Ris Central,residential,50,58.533,"LINESTRING (103.9478852 1.372815, 103.9483307 1.3725344)",,,,,,,
10015,4646565596,4646565593,0,639613957,True,2,Pasir Ris Drive 8,tertiary,60,14.079,"LINESTRING (103.948006 1.373634, 103.9480039 1.3735074)",,,,,,,
10016,4646569358,4645880171,0,470477265,True,3,Pasir Ris Drive 8,tertiary,60,37.125,"LINESTRING (103.9481622 1.3748763, 103.9483108 1.3751753)",,,,,,,
10017,4646569359,1839151897,0,470904969,True,3,Pasir Ris Drive 1,primary,60,15.497,"LINESTRING (103.9472165 1.3721838, 103.9473438 1.372127)",,,,,,,
10018,4646569361,3884212264,0,385064937,True,3,Pasir Ris Drive 8,tertiary,60,8.248,"LINESTRING (103.9473916 1.3722201, 103.9474268 1.3722854)",,,,,,,
10019,4646569365,1840034459,0,174035898,True,2,Pasir Ris Drive 1,primary,60,10.823,"LINESTRING (103.9478719 1.371859, 103.9479525 1.3718044)",,,,,,,
10020,4646569366,6094994738,0,470477268,True,3,Pasir Ris Drive 1,primary,60,15.71,"LINESTRING (103.9468478 1.3723236, 103.9469802 1.3722742)",,,,,,,
10021,4646580540,1839151898,0,470479200,True,3,Pasir Ris Drive 1,primary,60,20.063,"LINESTRING (103.9451998 1.3728595, 103.9450335 1.3729296)",,,,,,,
10022,4646580543,6095018859,0,470479201,True,4,Pasir Ris Drive 1,primary,60,24.603,"LINESTRING (103.9455946 1.37271, 103.9453881 1.3727896)",,,,,,,
10023,4648506406,1840121937,0,470705749,True,2,Pasir Ris Drive 3,primary,60,6.431,"LINESTRING (103.9485745 1.3754859, 103.9486286 1.3754654)",,,,,,,
10024,4648506407,206089786,0,470705748,True,3,Pasir Ris Drive 3,primary,60,25.312,"LINESTRING (103.9482672 1.3756111, 103.9484777 1.3755243)",,,,,,,
