,y,x,osmid,ref,railway,geometry
2274884782,1.4070234,103.9034045,2274884782,,,POINT (103.9034045 1.4070234)
2274884791,1.4072128,103.9035684,2274884791,,,POINT (103.9035684 1.4072128)
2274884795,1.4072969,103.9033664,2274884795,,,POINT (103.9033664 1.4072969)
2274884801,1.4074467,103.9038372,2274884801,,,POINT (103.9038372 1.4074467)
2274884805,1.4075086,103.9049399,2274884805,,,POINT (103.9049399 1.4075086)
2274884807,1.4075176,103.8980494,2274884807,,,POINT (103.8980494 1.4075176)
2274884810,1.4075458,103.8979893,2274884810,,,POINT (103.8979893 1.4075458)
2274884811,1.4075678,103.904118,2274884811,,,POINT (103.904118 1.4075678)
2274884812,1.4075865,103.9035231,2274884812,,,POINT (103.9035231 1.4075865)
2274884813,1.4075884,103.9046591,2274884813,,,POINT (103.9046591 1.4075884)
2274884817,1.4076142,103.9044066,2274884817,,,POINT (103.9044066 1.4076142)
2274884820,1.4077889,103.9038273,2274884820,,,POINT (103.9038273 1.4077889)
2274884821,1.4077896,103.9036488,2274884821,,,POINT (103.9036488 1.4077896)
2274884824,1.4079526,103.903779,2274884824,,,POINT (103.903779 1.4079526)
2274884826,1.4080391,103.903913,2274884826,,,POINT (103.903913 1.4080391)
2274884827,1.4080764,103.9045461,2274884827,,,POINT (103.9045461 1.4080764)
2274884828,1.4080974,103.9040551,2274884828,,,POINT (103.9040551 1.4080974)
2274884829,1.4081238,103.9043803,2274884829,,,POINT (103.9043803 1.4081238)
