,u,v,key,osmid,bridge,oneway,length,geometry
22,411102738,2274884999,0,173144832,yes,False,32.426,"LINESTRING (103.9044234 1.4174148, 103.9041469 1.4173219)"
23,411102738,1712357092,0,173144832,yes,False,26.361,"LINESTRING (103.9044234 1.4174148, 103.9046569 1.4174562)"
24,411102747,1712357091,0,173144832,yes,False,24.099,"LINESTRING (103.9053003 1.4174192, 103.9050871 1.4174585)"
25,411102747,1712357087,0,173144832,yes,False,29.956,"LINESTRING (103.9053003 1.4174192, 103.905557 1.4173372)"
26,411102754,2274884955,0,173144832,yes,False,24.14,"LINESTRING (103.9077707 1.4154359, 103.9077576 1.4156526)"
27,411102754,2274884948,0,173144832,yes,False,26.848,"LINESTRING (103.9077707 1.4154359, 103.907753 1.4151951)"
28,411102758,1167584069,0,173144832,yes,False,41.974,"LINESTRING (103.9075046 1.4145713, 103.9076678 1.4149117)"
29,411102758,1839721922,0,173144832,yes,False,228.432,"LINESTRING (103.9075046 1.4145713, 103.9065795 1.4127369)"
30,411102762,1839721922,0,173144832,yes,False,54.828,"LINESTRING (103.9063563 1.4122972, 103.9065795 1.4127369)"
31,411102762,6532027391,0,173144832,yes,False,43.262,"LINESTRING (103.9063563 1.4122972, 103.9061613 1.4119605)"
32,411102763,6532027391,0,173144832,yes,False,287.385,"LINESTRING (103.9048658 1.4097239, 103.9061613 1.4119605)"
33,411102763,6532012981,0,173144832,yes,False,59.208,"LINESTRING (103.9048658 1.4097239, 103.9046017 1.4092615)"
34,411102764,6532027385,0,173144832,yes,False,93.952,"LINESTRING (103.903494 1.4073624, 103.9039384 1.4080811)"
35,411102764,2274884681,0,173144832,yes,False,125.449,"LINESTRING (103.903494 1.4073624, 103.9029617 1.4063676)"
36,411102765,2274884600,0,218215445,yes,False,56.158,"LINESTRING (103.9024307 1.4056407, 103.9027672 1.4060174)"
37,411102765,6587709456,0,218215445,yes,False,46.091,"LINESTRING (103.9024307 1.4056407, 103.9022357 1.4052749)"
38,411102766,411102767,0,173144836,yes,False,41.504,"LINESTRING (103.901094 1.4026665, 103.9008396 1.4023933)"
39,411102766,2274883134,0,173144836,yes,False,124.463,"LINESTRING (103.901094 1.4026665, 103.9016317 1.4036483)"
40,411102767,2274881964,0,173144836,yes,False,21.43,"LINESTRING (103.9008396 1.4023933, 103.9006861 1.4022767)"
41,411102767,411102766,0,173144836,yes,False,41.504,"LINESTRING (103.9008396 1.4023933, 103.901094 1.4026665)"
42,411102768,5702120063,0,173144836,yes,False,7.8,"LINESTRING (103.9004468 1.402181, 103.9003767 1.402178)"
43,411102768,2274881964,0,173144836,yes,False,28.651,"LINESTRING (103.9004468 1.402181, 103.9006861 1.4022767)"
44,411685947,2274881749,0,218215448,yes,False,25.342,"LINESTRING (103.9013221 1.401825, 103.9011377 1.401959)"
45,411685947,411686025,0,218215448,yes,False,68.019,"LINESTRING (103.9013221 1.401825, 103.9018654 1.4015436)"
46,411685948,2274881959,0,218215448,yes,False,18.463,"LINESTRING (103.9010024 1.4021169, 103.9009367 1.4022694)"
47,411685948,2274881749,0,218215448,yes,False,23.119,"LINESTRING (103.9010024 1.4021169, 103.9011377 1.401959)"
48,411685949,2274882207,0,218215448,yes,False,16.952,"LINESTRING (103.9009003 1.4024403, 103.9009071 1.4025926)"
49,411685949,2274881959,0,218215448,yes,False,19.429,"LINESTRING (103.9009003 1.4024403, 103.9009367 1.4022694)"
50,411686017,2274871868,0,218215448,yes,False,26.515,"LINESTRING (103.9137856 1.3929457, 103.9135928 1.3930861)"
51,411686017,411686469,0,218215448,yes,False,28.511,"LINESTRING (103.9137856 1.3929457, 103.9140083 1.3928185)"
52,411686018,2274874260,0,218215448,yes,False,142.343,"LINESTRING (103.9110583 1.3951262, 103.9100725 1.3959432)"
53,411686018,1839721776,0,218215448,yes,False,205.972,"LINESTRING (103.9110583 1.3951262, 103.9124907 1.3939512)"
54,411686020,2274876754,0,218215448,yes,False,173.511,"LINESTRING (103.9080237 1.3976891, 103.9068101 1.3986704)"
55,411686020,1839721834,0,218215448,yes,False,106.686,"LINESTRING (103.9080237 1.3976891, 103.9087405 1.3970511)"
56,411686022,411686023,0,218215448,yes,False,39.956,"LINESTRING (103.9052588 1.3998348, 103.9049539 1.4000251)"
57,411686022,1839721781,0,218215448,yes,False,98.665,"LINESTRING (103.9052588 1.3998348, 103.9059813 1.3993194)"
58,411686023,2274880216,0,218215448,yes,False,119.908,"LINESTRING (103.9049539 1.4000251, 103.903986 1.4005011)"
59,411686023,411686022,0,218215448,yes,False,39.956,"LINESTRING (103.9049539 1.4000251, 103.9052588 1.3998348)"
